       terms        Mmax subset I       Mmax subset II      Mmax subset III       Mmax subset IV         Fmax subset I       Fmax subset II      Fmax subset III       Fmax subset IV  
x1 x1 x4 x5               -1.3891                    0               5.6072               7.0528               2.0015                    0               5.7764              13.3797  
x1 x1 x4 x6                0.3098                    0               4.8116              -2.6037                2.704                    0               2.2423             -0.58165  
x1 x1 x4 x7               -6.4344                    0               1.6929                    0              -3.1457                    0               1.3395                    0  
x1 x1 x5 x5                1.4055                    0               3.4717                    0             -0.75401                    0               1.9532                    0  
x1 x1 x5 x6               -5.2209                    0             -0.13696                    0               -3.612                    0             -0.10441                    0  
x1 x1 x5 x7                     0                    0              -5.9639                    0                    0                    0              -3.8921                    0  
x1 x1 x6 x6                     0               1.4351                    0              -7.4613                    0              -0.8519                    0              -7.6015  
x1 x1 x6 x7                6.0352                    0             -0.23311             -17.8355               2.6856                    0             -0.12816              -9.0635  
x1 x1 x7 x7                0.4556              0.65214               3.5397              17.8868               2.4932               1.1357               2.0066              16.6413  
x1 x2 x2 x2                     0                    0               6.2234              137.179                    0                    0               6.9263             139.4918  
x1 x2 x2 x3                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x2 x4                6.0066                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x2 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x2 x6                  4.57              -2.8443                    0                    0               2.7781              0.67795                    0                    0  
x1 x2 x2 x7               -9.0603                    0                    0                    0               5.7197                    0                    0                    0  
x1 x2 x3 x3                     0               7.1365                    0                    0                    0              19.5688                    0                    0  
x1 x2 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x3 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x3 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x4 x5                -8.912                    0                    0                    0                -3.81                    0                    0                    0  
x1 x2 x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x2 x6 x7               -3.2436                    0                    0                    0             -10.9697                    0                    0                    0  
x1 x2 x7 x7                     0                    0                    0              50.9216                    0                    0                    0              33.2189  
x1 x3 x3 x3                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x3 x5               -2.7369                    0                    0              103.399              -2.6926                    0                    0               87.663  
x1 x3 x3 x6              -10.6729                    0                    0                    0               1.8265                    0                    0                    0  
x1 x3 x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x5 x6                     0                    0               3.8033                    0                    0                    0              0.75514                    0  
x1 x3 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x3 x7 x7               0.14955               5.8743                    0                    0               3.0004               3.1261                    0                    0  
x1 x4 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x4 x6                     0                    0               2.0534                    0                    0                    0               1.1438                    0  
x1 x4 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x5 x5               -4.1193                    0              48.9351             -76.5139               2.5235                    0              49.2679             -72.7286  
x1 x4 x5 x6                     0                    0             -0.30166                    0                    0                    0              0.85379                    0  
x1 x4 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x6 x6                2.8864                    0                    0                    0              -6.5667                    0                    0                    0  
x1 x4 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x4 x7 x7                     0                    0              -6.9348                    0                    0                    0              -4.9946                    0  
x1 x5 x5 x5                5.6519              -3.8366             -40.9398                    0              -1.6979               -8.361             -41.1483                    0  
x1 x5 x5 x6               0.76699              0.44291               0.2444                    0              -3.0044               4.3523              0.18808                    0  
x1 x5 x5 x7               -1.0527                    0                    0                    0               3.0324                    0                    0                    0  
x1 x5 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x5 x6 x7                2.3176                    0                    0                    0               8.9166                    0                    0                    0  
x1 x5 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x6 x6 x6               0.86065              -6.9623              -1.3798             -32.4581              0.90152               1.6803             -0.67764             -21.4271  
x1 x6 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x6 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x1 x7 x7 x7               -2.4044               8.2868               6.0767                1.647               1.2918             -0.97339               4.1006              -1.9347  
x2 x2 x2 x2                 7.345              -1.2314              -35.003             149.5667               7.9283               2.6087             -35.1858             164.0733  
x2 x2 x2 x3                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x2 x4               -5.5907                    0                    0                    0             -11.4681                    0                    0                    0  
x2 x2 x2 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x2 x6               -6.1587                    0                    0                    0               2.3569                    0                    0                    0  
x2 x2 x2 x7               0.30376             -0.89618                    0                    0              -4.2643               5.8917                    0                    0  
x2 x2 x3 x3               -5.7848                    0                    0                    0              -8.5901                    0                    0                    0  
x2 x2 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x3 x5                     0              -1.9767                    0                    0                    0             -18.2435                    0                    0  
x2 x2 x3 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x4 x6                4.0152                    0                    0                    0             -0.83749                    0                    0                    0  
x2 x2 x4 x7               -2.4397                    0                    0                    0               4.5569                    0                    0                    0  
x2 x2 x5 x5               0.95368              -1.6054                    0                    0               2.0768              -1.6486                    0                    0  
x2 x2 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x2 x6 x6                     0             -0.80816                    0                    0                    0              -6.7285                    0                    0  
x2 x2 x6 x7                1.4945                    0                    0                    0               9.0581                    0                    0                    0  
x2 x2 x7 x7               -1.6386                    0                    0                    0             -10.0349                    0                    0                    0  
x2 x3 x3 x3                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x3 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x3 x3 x5                2.4609                    0                    0                    0               5.5089                    0                    0                    0  
x2 x3 x3 x6                2.9217               1.3002                    0                    0               2.6268               8.9735                    0                    0  
x2 x3 x3 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x3 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x3 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x3 x4 x6               -7.7998                    0                    0                    0               1.9619                    0                    0                    0  
x2 x3 x4 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x3 x5 x5               -2.5717                    0                    0                    0              -6.7601                    0                    0                    0  
x2 x3 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x3 x5 x7                3.3886               3.9935                    0                    0              -6.0752              26.0761                    0                    0  
x2 x3 x6 x6              -0.22354                    0                    0                    0               2.0896                    0                    0                    0  
x2 x3 x6 x7                     0              -4.0131                    0                    0                    0              -23.788                    0                    0  
x2 x3 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x4 x4 x4                     0              0.56927                    0                    0            -0.079079              -2.1558                    0                    0  
x2 x4 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x4 x4 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x4 x4 x7             -0.039398                    0                    0                    0              0.14684                    0                    0                    0  
x2 x4 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x4 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x4 x5 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x4 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x4 x6 x7               0.42617               6.7689                    0                    0              0.67382              25.0776                    0                    0  
x2 x4 x7 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x5 x5 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x5 x5 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x5 x5 x7                     0              -5.2515                    0                    0                    0             -15.5688                    0                    0  
x2 x5 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x5 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x5 x7 x7              -0.42747                    0                    0                    0             -0.69371                    0                    0                    0  
x2 x6 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x6 x6 x7                     0                    0                    0                    0                    0                    0                    0                    0  
x2 x6 x7 x7                     0                    0                    0                    0              -6.1258                    0                    0                    0  
x2 x7 x7 x7                     0              -2.7943               4.3109                    0               6.1285             -11.6763               2.2515                    0  
x3 x3 x3 x3                1.9972              0.69364                    0                    0               4.4072             -12.3074                    0                    0  
x3 x3 x3 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x3 x3 x5                -1.641               3.4853                    0             -181.855              -4.6684              39.2947                    0            -151.2334  
x3 x3 x3 x6               -1.9049                    0                    0                    0             -0.82516                    0                    0                    0  
x3 x3 x3 x7               -1.0887              -3.4726                    0                    0             -0.20392              -28.644                    0                    0  
x3 x3 x4 x4                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x3 x4 x5                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x3 x4 x6                5.4621              -3.1331                    0                    0              -9.8837              10.1877                    0                    0  
x3 x3 x4 x7                8.6611                    0                    0                    0               7.4134                    0                    0                    0  
x3 x3 x5 x5               0.27138              -1.3595                    0                    0               1.1685             -27.6548                    0                    0  
x3 x3 x5 x6                -3.906                    0                    0                    0               9.8325                    0                    0                    0  
x3 x3 x5 x7               -9.2615                    0                    0                    0              -6.4767                    0                    0                    0  
x3 x3 x6 x6                     0                    0                    0                    0                    0                    0                    0                    0  
x3 x3 x6 x7              -0.37495                    0                    0                    0               -3.884                    0                    0                    0  
x3 x3 x7 x7               0.41659               4.2927                    0                    0               3.2235              12.0207                    0                    0  
